Hash,State,County,Population served,Water systems,Cities served,Water system per capita
Ohio Highl,Ohio,Highland County,47189,0,10,4718.9
Ohio Hocki,Ohio,Hocking County,16168,0,36,449.1111111
Ohio Holme,Ohio,Holmes County,23825,0,96,248.1770833
Ohio Huron,Ohio,Huron County,65069,0,24,2711.208333
Ohio Jacks,Ohio,Jackson County,34281,0,7,4897.285714
Ohio Jeffe,Ohio,Jefferson County,60225,0,39,1544.230769
Ohio Lawre,Ohio,Lawrence County,63562,0,7,9080.285714
Ohio Licki,Ohio,Licking County,122790,0,94,1306.276596
Ohio Logan,Ohio,Logan County,43998,0,128,343.734375
Ohio Lorai,Ohio,Lorain County,329430,0,16,20589.375
Ohio Lucas,Ohio,Lucas County,553047,0,50,11060.94
Ohio Madis,Ohio,Madison County,45682,0,69,662.057971
Ohio Mahon,Ohio,Mahoning County,246339,0,81,3041.222222
Ohio Mario,Ohio,Marion County,54758,0,41,1335.560976
Ohio Medin,Ohio,Medina County,114686,0,62,1849.774194
Ohio Meigs,Ohio,Meigs County,28162,0,9,3129.111111
Ohio Merce,Ohio,Mercer County,30025,0,79,380.0632911
Ohio Miami,Ohio,Miami County,94407,0,60,1573.45
Ohio Monro,Ohio,Monroe County,13319,0,6,2219.833333
Ohio Montg,Ohio,Montgomery County,519750,0,71,7320.422535
Ohio Morga,Ohio,Morgan County,5990,0,17,352.3529412
Ohio Morro,Ohio,Morrow County,9896,0,20,494.8
Ohio Muski,Ohio,Muskingum County,67727,0,22,3078.5
Ohio Noble,Ohio,Noble County,14245,0,6,2374.166667
Ohio Ottaw,Ohio,Ottawa County,39658,0,41,967.2682927
Ohio Pauld,Ohio,Paulding County,11762,0,31,379.4193548
Ohio Perry,Ohio,Perry County,27398,0,27,1014.740741
Ohio Picka,Ohio,Pickaway County,45543,0,40,1138.575
Ohio Porta,Ohio,Portage County,125191,0,173,723.6473988
Ohio Prebl,Ohio,Preble County,29514,0,32,922.3125
Ohio Putna,Ohio,Putnam County,18496,0,32,578
Ohio Richl,Ohio,Richland County,104092,0,130,800.7076923
Ohio Sandu,Ohio,Sandusky County,37331,0,57,654.9298246
Ohio Sciot,Ohio,Scioto County,89076,0,17,5239.764706
Ohio Senec,Ohio,Seneca County,47724,0,67,712.2985075
Ohio Shelb,Ohio,Shelby County,37400,0,42,890.4761905
Ohio Stark,Ohio,Stark County,316234,0,202,1565.514851
Ohio Summi,Ohio,Summit County,468467,0,256,1829.949219
Ohio Trumb,Ohio,Trumbull County,169706,0,97,1749.546392
Ohio Tusca,Ohio,Tuscarawas County,71579,0,82,872.9146341
Ohio Union,Ohio,Union County,39532,0,39,1013.641026
Ohio Van W,Ohio,Van Wert County,19859,0,32,620.59375
Ohio Vinto,Ohio,Vinton County,3940,0,6,656.6666667
Ohio Warre,Ohio,Warren County,224868,0,22,10221.27273
Ohio Washi,Ohio,Washington County,63821,0,19,3359
Ohio Wayne,Ohio,Wayne County,83120,0,172,483.255814
Ohio Willi,Ohio,Williams County,26091,0,42,621.2142857
